RESTAURANT;DIRECCION;TELEFONO
Palmira panaderia pasteleria;Martín Alonso Pinzón 5874, Las Condes, 7580265, Región Metropolitana, Chile;Telefono no encontrado
Saffron;Avenida Nueva Costanera 3662-3664, Vitacura;(2) 2502 2020
Grido;Carmen 221, local 2, santiago;9 7721 7341
Teke Factory  Fabrica de Tequeños;Avenida Tobalaba 1589 (primer Piso), Providencia. Santiago;9 3426 5629
Vapiano;Providencia 1984, Providencia;(2) 3271 9495
Somos Perú Buffet;Av. Francisco Bilbao 1042, Providencia, Región Metropolitana;(2) 2209 4156
Subway;Costanera sur 2730 rio mapocho local 301 A;Telefono no encontrado
Daniel´s Bakery & Café;Celerino Pereira 1530, Ñuñoa, Región Metropolitana;(2) 2226 5679
Chef Chino;Irarrázaval 40, Ñuñoa, Chile_;(2) 2343 4172
Kento;Avenida Manuel Montt 1349, Providencia, Chile;(2) 2223 8196
ming zhu limitada;av francisco bilbao 3485 providencia region metropolitana chile;Telefono no encontrado
Juan Maestro;Av. Jose Pedro Alessandri 1166, Local 4529, Ñuñoa;(2) 2384 8000
Milanos Pizza;Av Macul 3019 Macul Región Metropolitana;(2) 3273 3500
Hua Xing;Av. pedro de valdivia 2540 nunoa santiago de chile;(2) 2223 8532
Délice;Antonio Varas 376, Providencia, Región Metropolitana, Chile;Telefono no encontrado
Pita express;Los Alerces 2958ñuñoa Santiago;9 8605 6434
Mr. Wong;Av. las Condes 6740, Las Condes, Región Metropolitana, Chile;(2) 2220 9455
Tiger Wok;Av Francisco Bilbao 2752 Providencia.;(2) 2209 0595
KFC;Av. Larrain 5862, La Reina, Región Metropolitana;600 473 0000
Sushi Lover's;Av. Francisco Bilbao 1181, Providencia, Región Metropolitana, Chile;9 6351 5577
Melt Pizzas;Av. Francisco Bilbao 3975 La Reina Región Metropolitana;(2) 2337 7777
Do Sushi Artesanal;Av. Holanda 67, Providencia;9 4850 2969
Maru;(OJO: maru restaurante del subcentro) Av. Apoquindo 4411 Las Condes Región Metropolitana, local 151;Telefono no encontrado
Olivo Limón;La Florida 7297, La Florida, Región Metropolitana;(2) 2513 2934
Waffles Belgas;Avenida Italia 1307;9 9943 2434
Fuente las Condes;Chesterton 7380 Las Condes, Chile;9 6588 9336
Tony Roma´s;Av andres bello 2447;(2) 2618 9773
The Breakfast;Av. Manquehue Sur 1231, local 1, Las Condes, Región Metropolitana, Chile;Telefono no encontrado
Las Vegas;avenida Jose Pedro Alessandri 2014, ñuñoa;(2) 2567 6417
Pollo Loco;Seminario 88 Providencia Región Metropolitana;(2) 3224 3358
Barra Chalaca;Retiro en Tanta (Después de las 19:00 entrada por calle Nueva Tobalaba) Andrés Bello 2447, Providencia, Región Metropolitana, local 5116;Telefono no encontrado
Doggis;Av. Presidente Kennedy 5413, Las Condes;(2) 2218 3633
